"Datacenter","ansible_fqdn","ansible_host"
"igqprqavc01","seaqa02s4aapp02.alaskaair.com","172.20.77.105"
"igqprqavc01","seaqa02s4aapp03.alaskaair.com","172.20.77.106"
"igqprqavc01","igqvvacs01","10.80.74.185"
"igqprqavc01","seaqaairprice01.alaskaair.com","10.80.98.45"
"igqprqavc01",,
"igqprqavc01","seaqacmfdb01","10.80.98.67"
"igqprqavc01","seaqacmsinf01.alaskaair.com","10.80.130.22"
"igqprqavc01","seaqacmsmon01.alaskaair.com","10.80.130.33"
"igqprqavc01","seaqacmspws01.alaskaair.com","10.80.130.30"
"igqprqavc01","seaqacmspws02.alaskaair.com","10.80.130.31"
"igqprqavc01","seaqacmspws03.alaskaair.com","10.80.130.32"
"igqprqavc01","seaqacmspws04.alaskaair.com","10.80.130.35"
"igqprqavc01","seaqacmsspsa01.alaskaair.com","10.80.130.28"
"igqprqavc01","seaqacmsspsa02.alaskaair.com","10.80.130.29"
"igqprqavc01","seaqacmsspsb01.alaskaair.com","10.80.130.24"
"igqprqavc01","seaqacmsspsb02.alaskaair.com","10.80.130.25"
"igqprqavc01","seaqacmsspsc01.alaskaair.com","10.80.130.26"
"igqprqavc01","seaqacmsweb01.alaskaair.com","10.80.130.20"
"igqprqavc01","seaqacmsweb02.alaskaair.com","10.80.130.21"
"igqprqavc01","seaqadap01.alaskaair.com","10.80.88.61"
"igqprqavc01","seaqadap02.alaskaair.com","10.80.88.62"
"igqprqavc01","seaqadba01","10.80.120.34"
"igqprqavc01","seaqaemaestro01","172.20.77.10"
"igqprqavc01",,
"igqprqavc01",,
"igqprqavc01","seaqafltopsdb04.alaskaair.com","159.49.199.121"
"igqprqavc01",,
"igqprqavc01","seaqafltopsdb06","159.49.196.253"
"igqprqavc01","seaqafltopsdb07.alaskaair.com","159.49.199.250"
"igqprqavc01","seaqafltopsdb08","159.49.199.131"
"igqprqavc01","seaqafltopsme01","159.49.196.90"
"igqprqavc01","seaqaftmsct01","10.80.88.32"
"igqprqavc01","seaqaftmsdb01","10.80.88.31"
"igqprqavc01","seaqagrem01.alaskaair.com","10.80.75.40"
